front,back,sentence,tags,deck
が主語,猫が鳴ています（貓在叫）,,日文文法,日文文法
が（對象）,私は音楽が聴きたいです（我想聽音樂）,,日文文法,日文文法
（疑問詞）＋が,どっちが早いです（哪一邊比較快呢？）,,日文文法,日文文法
が（逆接）,鶏は食べますが、牛肉は食べません(吃雞肉、不吃牛肉),,日文文法,日文文法
が(前置詞),"失礼ですが,鈴木さんでしようか（不好意思,請問是鈴木先生嗎?",,日文文法,日文文法
( 目的語)+を,日本語に手紙を書きます(寫日文書信),,日文文法,日文文法
"(通過,移動)+を+自動詞",この角を右に曲がります(在這個轉角右轉)（自V）1.大自然的現象2.人/事/物的狀態,,日文文法,日文文法
(離開點)+を,七時に家を出ます(七點出門),,日文文法,日文文法
(場所)+に　　在....,木の下に妹がいます(妹妹在樹下)[,,日文文法,日文文法
"(到達點)+に &nbsp; &nbsp;(去....),(到....),(在....)",今日成田に着きます(今天會抵達成田),,日文文法,日文文法
(時間)+に &nbsp;&nbsp;,7月に日本へ来ました(在七月時來到了日本),,日文文法,日文文法
(目的)+に,熱を測るのに使います。可以用來測量體溫文法：L42V原 のＮ+に....必要ですええ、お土産にいいです,,1.每日日文文法,1.每日日文文法
[對象(人)]+に　［給．．．］，［跟．．．］,友達に電話をかけます（打電話給朋友）,,日文文法,日文文法
［時間］+に+［次數］,一日に2時間ぐらい、勉強します（一天大約念兩小時的書）,,日文文法,日文文法
［場所］＋で　　在．．．,あの店でラーメンを食べました（在那家店吃了拉麵）,,日文文法,日文文法
［方法．手段］+で　　　［搭．．．］，［用．．．］,箸でご飯を食べます（用筷子吃飯）,,日文文法,日文文法
［材料］＋で　「用...」,この料理は肉と野菜で作りました（這個料理是用肉及蔬菜做成的）,,日文文法,日文文法
［理由］＋で　　「因為．．．」,私は風邪で頭が痛いです（我因為感冒所以頭很痛）,,日文文法,日文文法
［數量］＋で+［數量］　　｛共是．．．｝,入場料は二人で1500えんです（入場費是兩人共１５００元）,,日文文法,日文文法
［場所．方向］へ　　［往．．．］,来月国へ帰ります（下個月回國）,,日文文法,日文文法
［場所］へ[目的]に,図書館へ本を返しに行きます(去圖書館還書),,日文文法,日文文法
[名詞]+と+［名詞］　　　［．．．和．．．］,公園に猫と犬がいます （公園有貓和狗）,,日文文法,日文文法
［對象］と（いっしょに）　［跟．．．一起］,彼女と晩ご飯を食べました（和她一起吃了晚餐）,,日文文法,日文文法
［對象］と　　　［跟．．．］,主人と離婚します（我要跟我老公離婚了）,,日文文法,日文文法
［引用內容］と　「說．．．」「寫．．．」,彼女は今日来ないと言っています（她說她今天不會來）,,日文文法,日文文法
［場所］＋から、［場所］+まで　　［從．．．］,駅から学校までは通りですか。 （從車站到學校很遠嗎？）,,日文文法,日文文法
［時間］から、［時間］+まで　　　「從．．．到．．．」,夏休みわ7月から9月までです（暑假是從７月到九月）,,日文文法,日文文法
［起點（人）］から　　「從．．」,山田さんから時計を借りました（我像山田先生借了手錶）,,日文文法,日文文法
...から、...（原因）,今日は天気が悪いから、傘を持っています。（因為今天天氣不好，所以帶傘去）,,日文文法,日文文法
...や...(並列),リンゴやみかんを買います(買了蘋果和橘子),,日文文法,日文文法
...や...など[和...等],机にペンやノートなどがあります(書桌上有筆和筆記本),,日文文法,日文文法
名詞+の+名詞,五月五日は子供の日です(五月五日是兒童節),,日文文法,日文文法
名詞+の,私の傘は一番左です(我的傘是最左邊那支),,日文文法,日文文法
名詞+の（名詞修飾主詞),あれは兄の描いた絵です(那是哥哥的畫),,日文文法,日文文法
...は...です（主題）,冬は寒いです（冬天很冷）,,日文文法,日文文法
...は...ません(否定),飲み物はいりません(不要飲料),,日文文法,日文文法
...は...が、...は...(對比),"前にきれいでしたが、今はきれいではありません(之前很漂亮,但是現在不漂亮)",,日文文法,日文文法
...も...(並列),猫も犬も黒いです(貓和狗都黑色的),,日文文法,日文文法
"...も...(附加,重複)",今日も明日も働きます(今天和明天都要工作),,日文文法,日文文法
...も...(數量),ご飯を三杯も食べました,,日文文法,日文文法
疑問詞+も+否定(完全否定),どこにも行きたくありません(哪裡都不想去),,日文文法,日文文法
には／へは／とは（とも）,花子は誰とも会いません(花子他誰也不想見),,日文文法,日文文法
にも／からも／でも（では）,デストは私にも難しいです(考試對我來說也很難),,日文文法,日文文法
[時間]+ぐらい／くらい,私は毎日2時間ぐらい勉強します(我每天大約念兩小時的書),,日文文法,日文文法
[數量]+ぐらい／くらい,この本は3回ぐらい読みました(這本書看了三次左右),,日文文法,日文文法
...だけ...だけの...,"漢字は少しだけわかります(漢字只懂一點點)できるだけできるだけ[副]盡量=なるべく「～多少就;盡量～」在某個範圍程度內,(想/要/能)多少就～文法：Ｖ原い/いな/な＋だけ...Ｖ普＋だけの＋Ｎ(足以～；得以應付)表後面接的名詞足以應付～",,1.每日日文文法,1.每日日文文法
しか+[否定],お弁当は一つしか買いませんでした(僅僅買了一個便當)五千円しかありません僅有5000日圓,,1.每日日文文法,1.每日日文文法
...か...(選擇),ビールかお酒を飲みます(喝啤酒或清酒),,日文文法,日文文法
...か...か...(選擇),熱いか寒いかわかりません(不知道是冷還是熱),,日文文法,日文文法
[疑問詞]+か,いつか行きましょう(改天一起去吧),,日文文法,日文文法
[句子]+か,あなたは学生ですか(你是學生嗎),,日文文法,日文文法
"[疑問句]+か。[疑問句]+か。「是...,還是...」",ラーメンはおいしいですか、まずいですか。(拉麵好吃還是難吃?),,日文文法,日文文法
[句子]+ね,今日はとても熱いですね(今天好熱呀),,日文文法,日文文法
[句子]+よ,あの映画は面白いですよ(那部電影很好看喔),,日文文法,日文文法
[句子]+わ　　　女性用語,あ、お金がないわ(阿!沒有錢了)&nbsp;,,日文文法,日文文法
中(じゅう) / (ちゅう),仕事は今月中に終わります(工作將在這個月結束),,日文文法,日文文法
たち／がた「們」,素敵な方々に出会いました(遇見很棒的人們),,日文文法,日文文法
[左右]ごろ,11月ごろから寒くなります（從十一月左右開始天氣變冷）,,日文文法,日文文法
すぎ／まえ「差」「前」,今9時１５分過ぎです（現在是９點過１５分）,,日文文法,日文文法
和（なに）／（なん）,今何時ですか？（現在幾點呢）,,日文文法,日文文法
だれ／どなた,あなたはどなたですか（你是哪位呢）,,日文文法,日文文法
いつ　「何時」,いつ家に着きますか（甚麼時候到家呢？）,,日文文法,日文文法
いくつ（個數）／いくつ（年齡）,いくつほしですか（你想要幾個呢）,,日文文法,日文文法
どう／いかが「如何」,日本語はどうですか（日文怎麼樣呢）,,日文文法,日文文法
どんな「什麼樣的」,どんな本を読みますか（你看甚麼樣的書）,,日文文法,日文文法
どのぐらい／どれぐらい「多少．多少錢．多長．多遠」,飛行機でどれぐらいかかりますか（搭飛機要花多少錢呢）,,日文文法,日文文法
なぜ／どうして「為什麼」,どうして元気がありませんか（為甚麼沒精神呢）,,日文文法,日文文法
なにか／だれか／どこかへ　「去某地」「某些」「什麼」「某人」,どこかで食事しましょう（找個地方吃飯吧）,,日文文法,日文文法
なにも／だれも／どこへも「也（不）．．．」,何もしたくありません（什麼也不想做）,,日文文法,日文文法
これ／それ／あれ／どれ　「這個」「那個」「那個」「哪個」,どれがあなたの本ですか（哪一本是你的書）,,日文文法,日文文法
この／その／あの／どの　「這．．．」「那．．．」「那．．．」「哪．．．」,どの人が田中さんですか（哪一個人是田中先生呢）,,日文文法,日文文法
ここ／そこ／あそこ／どこ,花子さんはどこですか(花子小姐在哪呢),,日文文法,日文文法
こちら／そちら／あちら／どちら,お手洗いはあちらです（洗手間在那邊),,日文文法,日文文法
"形容詞(現在肯定/否定)「い」的前面是詞幹,否定把「い」轉變「く」，再加上「ない」或「あれません」",このテストは難しくないです（這場考試不難),,日文文法,日文文法
形容詞（過去肯定／否定）過去肯定是擺詞尾「い」改成「かっ」再加「た」。否定亦然,この映画は面白くなかった（這部電影不好看）,,日文文法,日文文法
形容詞くて　［．．．又．．．］,この本は薄くて軽いです（這本書又薄又輕）,,日文文法,日文文法
形容詞く+動詞詞尾「い」改成「く」，可以修飾句子裡的動詞,今日は風が強く吹いています（今日刮者強風）,,日文文法,日文文法
形容詞＋名詞,小さい家を買いました（買了棟小房子）,,日文文法,日文文法
形容詞+の,もっと安いのはありませんか（沒有更便宜的嗎）,,日文文法,日文文法
形容動詞（現在肯定／否定）形容動詞具有形容詞和動詞的雙重性格，只是形容詞的詞尾是「だ」。且連接名詞將「だ」變「な」，否定是將「だ」改成「で」再插入「は」最後加「ない」或「ありません」,日曜日の公園は静かです（星期天的公園很安靜）,,日文文法,日文文法
形容動詞（過去肯定／否定）將肯定「だ」改「だっ」＋「た」。否定如「静かではない」中的「い」改成「かっ」+「た」,彼女の家は立派ではなかったです（以前她的家並不豪華）,,日文文法,日文文法
形容動詞で+形容詞,彼女はきれいで優しいです（他又漂亮又溫柔）,,日文文法,日文文法
形容動詞に+動詞,あの子は歌を上手に歌います（那孩子歌唱得很好）,,日文文法,日文文法
形容動詞な+名詞將詞尾「だ」改「な」,真面目な人が好きです(我喜歡認真的人),,日文文法,日文文法
形容動詞な+の,便利なのがほしいです(我想要方便的),,日文文法,日文文法
動詞(現在肯定/否定),今晩勉強します(今晚要讀書),,日文文法,日文文法
動詞(過去肯定/否定),先週友達に手紙を書きました(上禮拜寫封信給朋友),,日文文法,日文文法
動詞(普通型),靴下をはく(穿襪子),,日文文法,日文文法
動詞+名詞動詞普通型能直接修飾名詞,分からない単語があります(有不懂的單字)食べた人は手を上げてください(有吃的人請舉手),,日文文法,日文文法
...が+自動詞,ドアが開きました(門開了)（自V）1.大自然的現象2.人/事/物的狀態,,日文文法,日文文法
...を+他動詞,棚に荷物をあげました(把行李放在架上了),,日文文法,日文文法
動詞+て[連接短句],新宿に行って、映画を見ます(去新宿看電影),,日文文法,日文文法
動詞+て[時間順序],靴を履いて外にでます(穿上鞋子後外出),,日文文法,日文文法
"動詞+て[方法,手段]",ネットを使って、調べます(用網路搜查),,日文文法,日文文法
動詞+て[原因],お金がなくて、困っています(沒有錢很煩惱),,日文文法,日文文法
動詞+ています[動作進行中],今何をしていますか(現在再做甚麼),,日文文法,日文文法
動詞+ています[習慣性]常與「毎日、いつも、よく、時々」使用,姉は毎朝牛乳を飲んでいます(姊姊每天早上都喝牛奶),,日文文法,日文文法
動詞+ています[工作],姉は今年から銀行に勤めています(姐姐今年起在銀行服務),,日文文法,日文文法
動詞+ています[結果或狀態的持續],クーラーがついています(有開冷氣),,日文文法,日文文法
動詞ないで,タバコを吸わないでください(不要抽菸),,日文文法,日文文法
動詞ないで「沒...就...」,昨日は寝ないで勉強しました(昨天整晚讀書沒睡),,日文文法,日文文法
自動詞+...ています,空に月が出ています(夜空高掛者月亮)（自V）1.大自然的現象2.人/事/物的狀態,,日文文法,日文文法
他動詞て+あります 「...者」「已...了」,お弁当はもう作ってあります(便當已經做好了),,日文文法,日文文法
...をください「我要...」「給我...」,安いのをください(請給我便宜的),,日文文法,日文文法
...てください[請...],口を大きく開けてください(請把嘴巴張開),,日文文法,日文文法
...ないでください「請不要...」,その部屋に入らないでください(請不要進那間房間),,日文文法,日文文法
動詞てくださいませんか「能不能請你...」,お名前を教えてくださいませんか(能不能告訴我你們姓名),,日文文法,日文文法
動詞ましょう,ちょっと休みましょう(休息一下吧),,日文文法,日文文法
動詞ませんか　「要不要...吧」,今晩食事に行きませんか(今晚要不要一起去吃飯),,日文文法,日文文法
...がほしい「...想要...」,どんな恋人がほしいですか(你想要怎樣的情人),,日文文法,日文文法
動詞たい　「...想要做...」,今晩何が食べたいですか(今晚想吃什麼),,日文文法,日文文法
...とき　「...的時候...」「普通型+とき」「な形容詞+な+とき」「形容詞+とき」「名詞+の+とき」,"妹が生れたとき、父は外国にいました(妹妹出生的時候,父親在國外)",,日文文法,日文文法
...ながら　「一邊...一邊...」,"音楽を聴きながら、ご飯を作ります(邊聽音樂,邊做飯)文法：Vます去ます(通常使用持續動詞[食べる、走る])ながら表示同時進行",,1.每日日文文法,1.每日日文文法
動詞てから「先做...再做...」,夜歯を磨いてから、寝ます(晚上刷完牙後再睡覺),,日文文法,日文文法
"動詞たあとで　「...以後...」「動詞た型+あとで」「名詞+の＋あとで」客觀敘述事情發生經過,兩項動作相隔一定時間發生",お客さんが帰ったあとで、茶碗を洗いました(客人離開後洗了碗),,日文文法,日文文法
"動詞まえに　「...之前,先...」（普通型）",デスとをするまえに、勉強します(考試前先讀書),,日文文法,日文文法
でしょう「也許...」「可能...」,"この仕事は１時間ぐらいかかるでしょう(這份工作大概要花上一小時吧)文法：V常い/いな/0N/0「動詞普通型+でしょう」「形容詞+でしょう」「名詞+でしょう」伴隨降調,表示推測",,1.每日日文文法,1.每日日文文法
"動詞たり、動詞たりします　「有時...,有時...」「又是...,又是...」","夕べは友達と飲んだり、食べたりしました(昨天和朋友又是喝酒,又是吃飯)文法：V1たりV2たりしました「等等之類的～」舉例有時「V1たり」不會出現",,1.每日日文文法,1.每日日文文法
形容詞く+なります　「變...」,午後は暑くなりました(下午變熱了),,日文文法,日文文法
形容動詞に+なります,体が丈夫になりました(身體變強壯了),,日文文法,日文文法
名詞に+なります,"もう夏になりました(已經夏天了)毎日遅くまで仕事をして、病気になりました(每天工作到很晚,結果生病了)",,日文文法,日文文法
形容詞く+します跟「なります」比較、「なります」不是人為的是自己改變「します」則是人為改變,部屋を暖かくしました(房間弄暖和),,日文文法,日文文法
形容動詞に+しました跟「なります」比較、「なります」不是人為的是自己改變「します」則是人為改變,音楽を流して、賑やかにしました(放音樂讓氣氛變熱鬧),,日文文法,日文文法
名詞に+します,子供を医者にします(我要讓孩子當醫生),,日文文法,日文文法
もう+肯定,病気はもう治りました(病已經治好了),,日文文法,日文文法
もう+否定,もう飲みたくありません(我已經不想喝了),,日文文法,日文文法
まだ+肯定 「還有...」還有...,まだ時間があります(還有時間),,日文文法,日文文法
まだ+否定 「還(沒有)...」,"まだ,何も食べていません(什麼都還沒吃)",,日文文法,日文文法
[...という+名詞]「...的」「叫做...」,あの店は何という名前ですか(那家店叫什麼名子)&lt;文法&gt;L3Ｖ常い/いな/だＮ/だ(內容)+という+N,,1.每日日文文法,1.每日日文文法
...つもり、...つもりだ　「打算」「準備...」,夏休みには日本へ行くつもりです(暑假打算去日本)文法：V原/Vない＋つもりです/だ。《針對未來》こんなことをするなんて、一体何のつもりだ。做出那樣的事、你倒底打算幹嘛,,1.每日日文文法,1.每日日文文法
...をもらいます　　「取得」「要」「得到」「を」前面是得到的東西給一般人用「から」或「に」表示,友人からお土産をもらいました(從朋友那裡拿到名產),,日文文法,日文文法
"...に...があります／います　「某處有某物或某人」無生命的自己無法動的用「あります」「います」用在有生命,自己可以動作的人或動物",部屋に姉がいます(房間裡有姊姊),,日文文法,日文文法
...は...にあります／います　「某物或人在某處」,八百屋は郵便局の隣にあります(蔬菜店在郵局的隔壁),,日文文法,日文文法
あまり...ない「(不)很」「(不)怎樣」「沒多少」口語中加強語氣說「あんまり」,あまりお酒は飲みません(我不怎麼喝酒)あまり~ない不太..あまり(に/も)非常,,日文N2文法,日文N2文法
こんな「這樣的」「這麼的」「如此的」,&nbsp;こんな大きな木は見たことがない(沒看過這麼大的樹),,日文文法,日文文法
そんな　「那樣的」,そんな名前は聞いたことがない(我沒有聽過那樣的名子),,日文文法,日文文法
あんな　「那樣的」,私は、あんな女性と結婚したいです我想和那樣的女性結婚),,日文文法,日文文法
こう　「這樣」,"こうすれば、簡単に汚れが取れるんです(這樣處理的話,就可以輕易去除污漬了)",,日文文法,日文文法
そう,私がそうしたのには、訳があります(我會那樣做是有原因的),,日文文法,日文文法
ああ,彼は怒るといつもああだ(他一生氣起來一向都是那樣子)[副]那樣=あんなに(N4)、あのような、あのように(N3),,日文N2單字,日文N2單字
ちゃ／じゃ「ちゃ」是「ては」縮寫「じゃ」是「では」縮寫,そんなにたくさん飲んじゃだめだ(喝這麼多可不行喔),,日文文法,日文文法
"が「體言」+が。接在名詞的後面,表示後面的動作或狀態的主體",子どもが、泣きながらはしってきた(小孩邊哭邊跑過來),,日文文法,日文文法
までに「在...之前」「到...時候為止」「までに」跟表示時間終止的「まで」不一樣!!,彼は、年末までに日本に来るはずです(他在年底前應該會來日本),,日文文法,日文文法
"數量詞+も前面接數量詞,用在強調數量很多,程度很高的時候用「何+助數詞+も」也表示數量,次數很多的樣子",ディズニーランドは何度も行きましたよ（我去過迪士尼樂園好幾次了）,,日文文法,日文文法
ばかり「淨...」「光...」「老...」,"N3L41VてN+ばかり＊Vて+ばかりいる＊Vる/Vている+ばかりN4L46Vた+ばかりだ/です→老是，一直不斷地...毎日暑いので、コーラばかり飲んでいます(每天天氣都很熱,所以一直喝可樂)時間がたつほどに会いたい思いは強くなるばかりです。隨著時間經過，我想見她的思緒就變得越發強烈。",,1.每日日文文法,1.每日日文文法
でも　「就連...也」,"日本人でも読めない漢字があります(就連日本人,也有不會念的漢字)",,日文文法,日文文法
疑問詞+でも　「無論」「不論」「不拘」表示全面的否定或否定,何でも相談してください(什麼都可以找我商量),,日文文法,日文文法
"疑問詞+か「か」上接「なに、どこ、いつ、だれ」等疑問詞,表示不肯定的,不確定的或是沒必要說明的事物。用在不特別指出的某事或某物。後面的助動詞經常被省略",映画は何時から始まるか教えてください（請告訴我電影幾點開始）,,日文文法,日文文法
とか「...啦...啦」「...或...」「及...」,"赤とか青とか、いろいろな色を塗りました （或紅或藍,塗了各種的顏色)Vる・N＋..とか..とか",,日文N3文法,日文N3文法
"し　　「既...又...」「不僅...而且...」用來並列陳述性質相同的複數事物,或說話人認為兩事物有相關聯的時候","田中さんのアパートは広いし、学校からも近い(田中同學的公寓不僅寬敞,還離學校很近)（條件並列）V常い/いな/だN/だ＋し",,1.每日日文文法,1.每日日文文法
"の　　「...嗎」在句尾,用升調發問,一般用在對兒童,或關係較親密的人。是婦女或兒童用言",会議はもう終わったの(會議已經結束了嗎),,日文文法,日文文法
"だい(句尾)接在疑問詞或含有疑問詞的句子後面,表示向對方詢問的語氣。有時也含有責備或責問的口氣。男性用言,用在口語,說法較老氣",田舎のお母さんの調子はどうだい（鄉下母親的身體狀態怎麼樣）,,日文文法,日文文法
"かい（語尾）　　［嗎...］放在句尾,表示親暱的提問",財布は見つかったかい(錢包找到了嗎),,日文文法,日文文法
"な(禁止) &nbsp;[不准...][不要...][動詞連用型]+な。一般用在對孩子,兄弟姊妹,或親友時。也用在遇到緊急狀況或吵架時",がんばれよ。絶対負けるなよ（加油點，千萬別輸了）,,日文文法,日文文法
"さ　（暑さ）接在形容詞,形容動詞的詞幹後面等構成名詞",健康の大事さを知りました（了解了健康的重要）,,日文文法,日文文法
らしい「好像...」「說是...」「像...的樣子」,地面が濡れている、夜中に雨が降ったらしい(地面是濕的。晚上好像有下雨的樣子)V常い常な/0N/0+らしい接尾語，意思為有該名詞特色或性質，解釋為「該有~樣子」。,,1.每日日文文法,1.每日日文文法
がる（がらない）　　「覺得...」「想要...」,おかしいことを言ったのに、誰も面白いがらない（說了滑稽的事，卻沒有人覺得有趣）,,日文文法,日文文法
たがる　　「想．．．」「願意．．．」用在表示第三人稱，顯露在外表的願望或希望。是「動詞連用型」＋「たい的詞幹」＋「がる」來的。否定則是「たがらない」,子供は歯医者に行きたがらない（小孩不想去看牙醫）N3L14い/い,,日文N3文法,日文N3文法
"（ら）れる　　「被」[一段動詞,カ變動詞未然型]+られる；[五段動詞未然型．サ變動詞未然型さ]+れる。表示被動。",試験が２月に行われます(考試將在2月舉行),,日文文法,日文文法
お...になる動詞尊敬語的形式。[お~になる]中間接的是對方的動作,昨日は、十分お休みになりましたか(昨天有充分休息了嗎),,日文文法,日文文法
"（ら）れる[一段動詞,カ變動詞未然型]+られる；[五段動詞未然型．サ變動詞未然型さ]+れる。表示對話題人物的尊敬",もう具合はよくなられましたか(身體好一些了嗎),,日文文法,日文文法
"お...ください　　「請...」用在對客人,屬下對上司請求。尊敬程度&gt;「てください」要高",かしこまりました。少々お待ちください。,,日文文法,日文文法
"お（名詞）後接名詞,表示尊敬,鄭重,親愛,此外還有習慣用法。基本上原有和語接「お」如果是中國造字法用「ご」",もうすぐお正月ですね(馬上就要新年了),,日文文法,日文文法
"お...する透過降低自己或自己這一邊的人,以提高對方,來表示尊敬。謙和度比「お～いたす」要低","興味があれば、お教えします(如果有興趣的話,願意盡力幫忙)",,日文文法,日文文法
お...いたす「お～する」語氣上更謙和一點,私の計画をご説明いたしましょう(我來說明一下我的計畫吧),,日文文法,日文文法
ておく　　「著...」「先...」「暫且...」,結婚する前に料理を習っておきます(結婚前事先學做菜),,日文文法,日文文法
(名詞)でございます,うちの娘は、まだ小学生でございます(我女兒還只是小學生),,日文文法,日文文法
"（さ）せる　　「讓...」「叫...」[一段動詞,カ變動詞未然型．サ變動詞詞幹］＋させる。［五段動詞未然型］＋せる。表示使役。",親が子供に部屋をそうじさせた（父母叫小孩整理房間）若い人に荷物を持たせる（讓年輕人拿行李）,,日文文法,日文文法
（さ）せられる　　「被迫...」「不得已...」,"彼と食事すると、いつも僕がお金を払わせられる(每次跟他吃飯,都是我付錢)若い二人は、両親に分れさせられた(兩位年輕人被父母強迫分開)",,日文文法,日文文法
ず（に）　　「不...地」「沒...地」[動詞未然型]+ずに。表示否定的狀態。多用在書面上,方法がわからず、失敗しました(不知道方法而失敗了),,日文文法,日文文法
命令型 &nbsp;「給我...」「不要...」,"早く起きろ、運動会に遅れるよ(快點起床,不然運動會要遲到了)",,日文文法,日文文法
...の（は／が／を）　　「的是...」名詞化,花子が歌っているのが聞こえます(可以聽到花子在唱歌)のは／のが私は星をみるのが好きです。(主詞)(他動詞)(名詞化),,日文文法,日文文法
こと,生きることは本当にすばらしいです(人活者這件事真是太好了),,日文文法,日文文法
...ということだ　　「聽說...」「據說...」「也就是說」,"物価が来月はさらに上がるということだ(據說物價下個月會再往上漲)文法：L29V常い常な/だ(だ強調斷定的語氣)N/だ(だ強調斷定的語氣)+ということだ/です。+とのことだ/です。+そうだ/です[N4](引用)と言われる從別處得來情報在傳達給別人有時前面會加上つまり,「也就是說」表示下結論ご意見がないということは、皆さん、賛成ということですね(沒有意見的話,就表示大家都贊成了吧)",,1.每日日文文法,1.每日日文文法
ていく　「...去」「...下去」,ますます技術が発展していくでしょう(技術會越來越進步吧)持續...(往未來)N3L08なっていく變得未來越來越...,,1.每日日文文法,1.每日日文文法
てくる　　「...來」「...起來」「...過來」「去...」「持續...」,お祭りの日が、近づいてきた。（慶典快到了）意思：從過去到現在，還持續著1.靠近。近づいてきた2.過去到現在還持續著。＋てくる＋てきました。日本人は,,日文文法,日文文法
てみる　　「試著(做)...」,靴を買う前に履いてみました(買鞋子前先試穿了看看),,日文文法,日文文法
てしまう　　　「...完」,部屋はすっかり片付けてしまいました（房間全部整理好了）,,日文文法,日文文法
（よ）うと思う　　「我想...」「我要...」,日曜日はこのＤＶＤを見ようと思っています(我想在這禮拜天看這DVD)文法：N4：打算/想V意向形(う/よう)＋と思う,,1.每日日文文法,1.每日日文文法
（よ）うとする　　「想要...」「打算...」,"そのことを忘れようとしましたが、忘れられません(我想把那件事忘了,但卻無法忘記)&lt;有在嘗試&gt;（V意向形）＋うとするＶたい＜慾望、做著空想＞",,日文N3文法,日文N3文法
...ことにする　「決定...」ことにする、ことになる「當作～」,今日からタバコを吸わないことにしました(今天起我決定不抽菸了)（一）文法：Ｖ原/ない＋ことにする＋ことにします表自己的決定＝Ｖ原/ない＋ことに決めた(二)「就當作…」「裝作～」「假裝～」文法：N2L119Ｖた/なかった,,日文N2文法,日文N2文法
にする「決定...」「叫...」,私はこのタイプのパソコンにします(我要這款電腦)N4L44V原＋こと名詞＋にする（還沒做）,,日文文法,日文文法
お...ください　　「請」,山田様、どうぞお入りください(山田先生請進),,日文文法,日文文法
（さ）せてください　　「請允許...」「請讓...做」,"疲れたから、少し休ませてください(有點累,請讓我休息一下)",,日文文法,日文文法
と言う「...的...」「聽說」,父は「明日の朝、六時に起こしてくれ」と言った(父親說:明天早上6點叫我起床)N3L03V常い/いな/だN/だ(內容)+と言う+名詞前面帶出內容＝っていう(口語)言う[自他V]説お礼[れい]を言う / 致謝本人が言う / 本人親自說明,,1.每日日文文法,1.每日日文文法
はじめる　　「開始...」,お酒を飲んだら、眠くなり始めた(喝了酒便開始想睡覺)他V,,日文N3單字,日文N3單字
だす　　「...起來」,お湯が沸きだしたから、ガスを止めてください(水開了請把瓦斯關掉,,日文文法,日文文法
すぎる　「太...」「過於...」,この問題は彼女にとっては難しすぎる(這個問題對他來說太難了)N4L44V去ますい/去いな/去な+過ぎる,,1.每日日文文法,1.每日日文文法
ことができる「可以」「能...」「會...」,私も会場に入ることができますか(我也可以進會場嗎)V原＋ことＮ,,1.每日日文文法,1.每日日文文法
(ら)れる　　「會...」「能...」,私は２００メートルぐらい泳げます（我能游兩百公尺左右）,,日文文法,日文文法
ほうがいい　　「最好...」「還是...為好」,"柔らかい布団のほうがいい(柔軟的棉被比較好)文法：L32&lt;建議&gt;V原(口氣委婉)動作未做Vた(口氣強烈)動作未做Vない＋ほうがいいこんなひどい目に合うぐらいなら、むしろ死んだほうがいい假如要受那種對待,還不如一死百了",,日文文法,日文文法
なければならない　　「必須...」「應該...」,寮には夜１１時までに帰らなければならない(得在晚上11點以前回到宿舍才行),,日文文法,日文文法
なくてはいけない　　「必須」,来週までに、お金を払わなくてはいけない(下星期前得付款)本身個體的義務Vない去ないい/くな/じゃN/じゃじゃ＝で ok缩約形 『なくては』 改為 『なくちゃ』 ， 口語上 有時僅講 『なくちゃ』 而把後面 省略掉,,1.每日日文文法,1.每日日文文法
のに　　「為了...」「因為」,この小説を書くのに５年かかりました(花了五年的時間寫這本小說),,日文文法,日文文法
てもいい　　「...也行」「可以...」,窓を開けてもいいでしょか(可以打開窗戶嗎),,日文文法,日文文法
てもかまわない　　「即使...也沒關係」「...也行」,この仕事はあとでやってもかまいません(待會再做這份工作也行),,日文文法,日文文法
いけ,［池］　池子,,日文N3單字,日文N3單字
うわぎ,"［上着］　　上衣,上層的衣服",,日文N3單字,日文N3單字
おまわりさん,警察,,日文N3單字,日文N3單字
かびん,[花瓶]花瓶,,日文N3文法,日文N3文法
けいかん,「警官」警察,,日文N3文法,日文N3文法
けさ,「今朝」　今早,,日文N3單字,日文N3單字
こうばん,「交番」警察局,,日文N3文法,日文N3文法
さき,"「先」尖端,前面",,日文N3單字,日文N3單字
だいどころ,「台所」廚房,,日文N3單字,日文N3單字
とし,"「年」年齡,年",,日文單字N5-N1,日文單字N5-N1
にし,"「西」西方,西邊",,日文單字N5-N1,日文單字N5-N1
はがき,「葉書」明信片,,日文單字N5-N1,日文單字N5-N1
はたち,「二十歳」二十歲,,日文單字N5-N1,日文單字N5-N1
はなし,"「話」 話語,故事,事情",,日文單字N5-N1,日文單字N5-N1
ひがし,"「東」東邊,東方東（ひがし）」、「西（にし）」、「南（みなみ）」、「北（きた）」四個方位東西南北（とうざいなんぼく）」以及「南東（なんとう）」、「北東（ほくとう）」、「南西（なんせい）」、「北西（ほくせい）」",,日文單字N5-N1,日文單字N5-N1
ひゃくてん,「百点」滿分,,日文單字N5-N1,日文單字N5-N1
ほう,"「法」方向,方面",,日文單字N5-N1,日文單字N5-N1
みなみ,"「南」南方,南邊",,日文單字N5-N1,日文單字N5-N1
ゆうがた,「夕方」傍晚,,日文單字N5-N1,日文單字N5-N1
ゆうはん,「夕飯」晚餐&nbsp;,,日文單字N5-N1,日文單字N5-N1
ひとつ,「一つ」一個,,日文單字N5-N1,日文單字N5-N1
ふたつ,「二つ」兩個,,日文單字N5-N1,日文單字N5-N1
みっつ,「三つ」三個,,日文單字N5-N1,日文單字N5-N1
よっつ,「四つ」四個,,日文單字N5-N1,日文單字N5-N1
いつつ,「五つ」五個,,日文單字N5-N1,日文單字N5-N1
